"","Date","Canada_1","Canada_total","Canada_recover","Canada_death","Date_a","Australia_1","Australia_total","Australia_recover","Australia_death","Date_b","Germany_1","Germany_total","Germany_recover","Germany_death","Date_c","Finland_1","Finland_total","Finland_recover","Finland_death","Date_d","Israel_1","Israel_total","Israel_recover","Israel_death","population_Canada","susceptible_Canada","infected_Canada","removed_Canada","population_Australia","susceptible_Australia","infected_Australia","removed_Australia","population_Germany","susceptible_Germany","infected_Germany","removed_Germany","population_Finland","susceptible_Finland","infected_Finland","removed_Finland","population_Israel","susceptible_Israel","infected_Israel","removed_Israel","day"
"17","2020-02-07","Canada","7","0","0","2020-02-07","Australia","15","2","0","2020-02-07","Germany","13","0","0","2020-02-07","Finland","1","0","0","2020-02-07","Israel","0","0","0",37742154,37742147,7,0,25499884,25499869,13,2,67886011,67885998,13,0,5540720,5540719,1,0,11589623,11589623,0,0,17
"18","2020-02-08","Canada","7","0","0","2020-02-08","Australia","15","2","0","2020-02-08","Germany","13","0","0","2020-02-08","Finland","1","0","0","2020-02-08","Israel","0","0","0",37742154,37742147,7,0,25499884,25499869,13,2,67886011,67885998,13,0,5540720,5540719,1,0,11589623,11589623,0,0,18
"19","2020-02-09","Canada","7","0","0","2020-02-09","Australia","15","2","0","2020-02-09","Germany","14","0","0","2020-02-09","Finland","1","0","0","2020-02-09","Israel","0","0","0",37742154,37742147,7,0,25499884,25499869,13,2,67886011,67885997,14,0,5540720,5540719,1,0,11589623,11589623,0,0,19
"20","2020-02-10","Canada","7","0","0","2020-02-10","Australia","15","2","0","2020-02-10","Germany","14","0","0","2020-02-10","Finland","1","0","0","2020-02-10","Israel","0","0","0",37742154,37742147,7,0,25499884,25499869,13,2,67886011,67885997,14,0,5540720,5540719,1,0,11589623,11589623,0,0,20
"21","2020-02-11","Canada","7","0","0","2020-02-11","Australia","15","2","0","2020-02-11","Germany","16","0","0","2020-02-11","Finland","1","0","0","2020-02-11","Israel","0","0","0",37742154,37742147,7,0,25499884,25499869,13,2,67886011,67885995,16,0,5540720,5540719,1,0,11589623,11589623,0,0,21
"22","2020-02-12","Canada","7","1","0","2020-02-12","Australia","15","2","0","2020-02-12","Germany","16","0","0","2020-02-12","Finland","1","1","0","2020-02-12","Israel","0","0","0",37742154,37742147,6,1,25499884,25499869,13,2,67886011,67885995,16,0,5540720,5540719,0,1,11589623,11589623,0,0,22
"23","2020-02-13","Canada","7","1","0","2020-02-13","Australia","15","8","0","2020-02-13","Germany","16","1","0","2020-02-13","Finland","1","1","0","2020-02-13","Israel","0","0","0",37742154,37742147,6,1,25499884,25499869,7,8,67886011,67885995,15,1,5540720,5540719,0,1,11589623,11589623,0,0,23
"24","2020-02-14","Canada","7","1","0","2020-02-14","Australia","15","8","0","2020-02-14","Germany","16","1","0","2020-02-14","Finland","1","1","0","2020-02-14","Israel","0","0","0",37742154,37742147,6,1,25499884,25499869,7,8,67886011,67885995,15,1,5540720,5540719,0,1,11589623,11589623,0,0,24
"25","2020-02-15","Canada","7","1","0","2020-02-15","Australia","15","8","0","2020-02-15","Germany","16","1","0","2020-02-15","Finland","1","1","0","2020-02-15","Israel","0","0","0",37742154,37742147,6,1,25499884,25499869,7,8,67886011,67885995,15,1,5540720,5540719,0,1,11589623,11589623,0,0,25
"26","2020-02-16","Canada","7","1","0","2020-02-16","Australia","15","8","0","2020-02-16","Germany","16","1","0","2020-02-16","Finland","1","1","0","2020-02-16","Israel","0","0","0",37742154,37742147,6,1,25499884,25499869,7,8,67886011,67885995,15,1,5540720,5540719,0,1,11589623,11589623,0,0,26
"27","2020-02-17","Canada","8","1","0","2020-02-17","Australia","15","10","0","2020-02-17","Germany","16","1","0","2020-02-17","Finland","1","1","0","2020-02-17","Israel","0","0","0",37742154,37742146,7,1,25499884,25499869,5,10,67886011,67885995,15,1,5540720,5540719,0,1,11589623,11589623,0,0,27
"28","2020-02-18","Canada","8","1","0","2020-02-18","Australia","15","10","0","2020-02-18","Germany","16","12","0","2020-02-18","Finland","1","1","0","2020-02-18","Israel","0","0","0",37742154,37742146,7,1,25499884,25499869,5,10,67886011,67885995,4,12,5540720,5540719,0,1,11589623,11589623,0,0,28
"29","2020-02-19","Canada","8","1","0","2020-02-19","Australia","15","10","0","2020-02-19","Germany","16","12","0","2020-02-19","Finland","1","1","0","2020-02-19","Israel","0","0","0",37742154,37742146,7,1,25499884,25499869,5,10,67886011,67885995,4,12,5540720,5540719,0,1,11589623,11589623,0,0,29
"30","2020-02-20","Canada","8","1","0","2020-02-20","Australia","15","10","0","2020-02-20","Germany","16","12","0","2020-02-20","Finland","1","1","0","2020-02-20","Israel","0","0","0",37742154,37742146,7,1,25499884,25499869,5,10,67886011,67885995,4,12,5540720,5540719,0,1,11589623,11589623,0,0,30
"31","2020-02-21","Canada","9","3","0","2020-02-21","Australia","15","11","0","2020-02-21","Germany","16","14","0","2020-02-21","Finland","1","1","0","2020-02-21","Israel","1","0","0",37742154,37742145,6,3,25499884,25499869,4,11,67886011,67885995,2,14,5540720,5540719,0,1,11589623,11589622,1,0,31
"32","2020-02-22","Canada","9","3","0","2020-02-22","Australia","15","11","0","2020-02-22","Germany","16","14","0","2020-02-22","Finland","1","1","0","2020-02-22","Israel","1","0","0",37742154,37742145,6,3,25499884,25499869,4,11,67886011,67885995,2,14,5540720,5540719,0,1,11589623,11589622,1,0,32
"33","2020-02-23","Canada","9","3","0","2020-02-23","Australia","15","11","0","2020-02-23","Germany","16","14","0","2020-02-23","Finland","1","1","0","2020-02-23","Israel","1","0","0",37742154,37742145,6,3,25499884,25499869,4,11,67886011,67885995,2,14,5540720,5540719,0,1,11589623,11589622,1,0,33
"34","2020-02-24","Canada","10","3","0","2020-02-24","Australia","15","11","0","2020-02-24","Germany","16","14","0","2020-02-24","Finland","1","1","0","2020-02-24","Israel","1","0","0",37742154,37742144,7,3,25499884,25499869,4,11,67886011,67885995,2,14,5540720,5540719,0,1,11589623,11589622,1,0,34
"35","2020-02-25","Canada","11","3","0","2020-02-25","Australia","15","11","0","2020-02-25","Germany","17","14","0","2020-02-25","Finland","1","1","0","2020-02-25","Israel","1","0","0",37742154,37742143,8,3,25499884,25499869,4,11,67886011,67885994,3,14,5540720,5540719,0,1,11589623,11589622,1,0,35
"36","2020-02-26","Canada","11","3","0","2020-02-26","Australia","15","11","0","2020-02-26","Germany","27","15","0","2020-02-26","Finland","2","1","0","2020-02-26","Israel","2","0","0",37742154,37742143,8,3,25499884,25499869,4,11,67886011,67885984,12,15,5540720,5540718,1,1,11589623,11589621,2,0,36
"37","2020-02-27","Canada","13","6","0","2020-02-27","Australia","15","11","0","2020-02-27","Germany","46","16","0","2020-02-27","Finland","2","1","0","2020-02-27","Israel","3","0","0",37742154,37742141,7,6,25499884,25499869,4,11,67886011,67885965,30,16,5540720,5540718,1,1,11589623,11589620,3,0,37
"38","2020-02-28","Canada","14","6","0","2020-02-28","Australia","15","11","0","2020-02-28","Germany","48","16","0","2020-02-28","Finland","2","1","0","2020-02-28","Israel","6","0","0",37742154,37742140,8,6,25499884,25499869,4,11,67886011,67885963,32,16,5540720,5540718,1,1,11589623,11589617,6,0,38
"39","2020-02-29","Canada","20","6","0","2020-02-29","Australia","25","11","0","2020-02-29","Germany","79","16","0","2020-02-29","Finland","3","1","0","2020-02-29","Israel","6","0","0",37742154,37742134,14,6,25499884,25499859,14,11,67886011,67885932,63,16,5540720,5540717,2,1,11589623,11589617,6,0,39
"40","2020-03-01","Canada","24","6","0","2020-03-01","Australia","27","11","1","2020-03-01","Germany","130","16","0","2020-03-01","Finland","6","1","0","2020-03-01","Israel","7","0","0",37742154,37742130,18,6,25499884,25499857,15,10,67886011,67885881,114,16,5540720,5540714,5,1,11589623,11589616,7,0,40
"41","2020-03-02","Canada","27","6","0","2020-03-02","Australia","30","11","1","2020-03-02","Germany","159","16","0","2020-03-02","Finland","6","1","0","2020-03-02","Israel","12","0","0",37742154,37742127,21,6,25499884,25499854,18,10,67886011,67885852,143,16,5540720,5540714,5,1,11589623,11589611,12,0,41
"42","2020-03-03","Canada","30","6","0","2020-03-03","Australia","39","11","1","2020-03-03","Germany","196","16","0","2020-03-03","Finland","6","1","0","2020-03-03","Israel","15","0","0",37742154,37742124,24,6,25499884,25499845,27,10,67886011,67885815,180,16,5540720,5540714,5,1,11589623,11589608,15,0,42
"43","2020-03-04","Canada","33","6","0","2020-03-04","Australia","52","11","2","2020-03-04","Germany","262","16","0","2020-03-04","Finland","6","1","0","2020-03-04","Israel","15","0","0",37742154,37742121,27,6,25499884,25499832,39,9,67886011,67885749,246,16,5540720,5540714,5,1,11589623,11589608,15,0,43
"44","2020-03-05","Canada","37","6","0","2020-03-05","Australia","55","21","2","2020-03-05","Germany","482","16","0","2020-03-05","Finland","12","1","0","2020-03-05","Israel","21","0","0",37742154,37742117,31,6,25499884,25499829,32,19,67886011,67885529,466,16,5540720,5540708,11,1,11589623,11589602,21,0,44
"45","2020-03-06","Canada","49","6","0","2020-03-06","Australia","60","21","2","2020-03-06","Germany","670","17","0","2020-03-06","Finland","15","1","0","2020-03-06","Israel","37","0","0",37742154,37742105,43,6,25499884,25499824,37,19,67886011,67885341,653,17,5540720,5540705,14,1,11589623,11589586,37,0,45
"46","2020-03-07","Canada","54","8","0","2020-03-07","Australia","63","21","2","2020-03-07","Germany","799","18","0","2020-03-07","Finland","15","1","0","2020-03-07","Israel","47","0","0",37742154,37742100,46,8,25499884,25499821,40,19,67886011,67885212,781,18,5540720,5540705,14,1,11589623,11589576,47,0,46
"47","2020-03-08","Canada","64","8","0","2020-03-08","Australia","76","21","3","2020-03-08","Germany","1040","18","0","2020-03-08","Finland","23","1","0","2020-03-08","Israel","56","0","0",37742154,37742090,56,8,25499884,25499808,52,18,67886011,67884971,1022,18,5540720,5540697,22,1,11589623,11589567,56,0,47
"48","2020-03-09","Canada","77","8","1","2020-03-09","Australia","91","21","3","2020-03-09","Germany","1176","18","2","2020-03-09","Finland","30","1","0","2020-03-09","Israel","60","0","0",37742154,37742077,68,7,25499884,25499793,67,18,67886011,67884835,1156,16,5540720,5540690,29,1,11589623,11589563,60,0,48
"49","2020-03-10","Canada","79","8","1","2020-03-10","Australia","107","21","3","2020-03-10","Germany","1457","18","2","2020-03-10","Finland","40","1","0","2020-03-10","Israel","88","0","0",37742154,37742075,70,7,25499884,25499777,83,18,67886011,67884554,1437,16,5540720,5540680,39,1,11589623,11589535,88,0,49
"50","2020-03-11","Canada","108","8","1","2020-03-11","Australia","128","21","3","2020-03-11","Germany","1908","25","3","2020-03-11","Finland","59","1","0","2020-03-11","Israel","60","0","0",37742154,37742046,99,7,25499884,25499756,104,18,67886011,67884103,1880,22,5540720,5540661,58,1,11589623,11589563,60,0,50
"51","2020-03-12","Canada","117","8","1","2020-03-12","Australia","128","21","3","2020-03-12","Germany","2078","25","3","2020-03-12","Finland","59","1","0","2020-03-12","Israel","81","0","0",37742154,37742037,108,7,25499884,25499756,104,18,67886011,67883933,2050,22,5540720,5540661,58,1,11589623,11589542,81,0,51
"52","2020-03-13","Canada","193","8","1","2020-03-13","Australia","200","23","3","2020-03-13","Germany","3675","46","7","2020-03-13","Finland","155","1","0","2020-03-13","Israel","112","1","0",37742154,37741961,184,7,25499884,25499684,174,20,67886011,67882336,3622,39,5540720,5540565,154,1,11589623,11589511,111,1,52
"53","2020-03-14","Canada","198","8","1","2020-03-14","Australia","250","23","3","2020-03-14","Germany","4585","46","9","2020-03-14","Finland","225","1","0","2020-03-14","Israel","138","1","0",37742154,37741956,189,7,25499884,25499634,224,20,67886011,67881426,4530,37,5540720,5540495,224,1,11589623,11589485,137,1,53
"54","2020-03-15","Canada","252","8","1","2020-03-15","Australia","297","23","3","2020-03-15","Germany","5795","46","11","2020-03-15","Finland","244","10","0","2020-03-15","Israel","177","1","0",37742154,37741902,243,7,25499884,25499587,271,20,67886011,67880216,5738,35,5540720,5540476,234,10,11589623,11589446,176,1,54
"55","2020-03-16","Canada","415","9","4","2020-03-16","Australia","377","23","3","2020-03-16","Germany","7272","67","17","2020-03-16","Finland","277","10","0","2020-03-16","Israel","251","1","0",37742154,37741739,402,5,25499884,25499507,351,20,67886011,67878739,7188,50,5540720,5540443,267,10,11589623,11589372,250,1,55
"56","2020-03-17","Canada","478","9","6","2020-03-17","Australia","452","23","5","2020-03-17","Germany","9257","67","24","2020-03-17","Finland","321","10","0","2020-03-17","Israel","295","3","0",37742154,37741676,463,3,25499884,25499432,424,18,67886011,67876754,9166,43,5540720,5540399,311,10,11589623,11589328,292,3,56
"57","2020-03-18","Canada","657","9","11","2020-03-18","Australia","568","23","6","2020-03-18","Germany","12327","105","28","2020-03-18","Finland","336","10","0","2020-03-18","Israel","371","6","0",37742154,37741497,637,-2,25499884,25499316,539,17,67886011,67873684,12194,77,5540720,5540384,326,10,11589623,11589252,365,6,57
"58","2020-03-19","Canada","800","9","11","2020-03-19","Australia","681","26","6","2020-03-19","Germany","15320","113","44","2020-03-19","Finland","400","10","0","2020-03-19","Israel","386","11","0",37742154,37741354,780,-2,25499884,25499203,649,20,67886011,67870691,15163,69,5540720,5540320,390,10,11589623,11589237,375,11,58
"59","2020-03-20","Canada","943","9","15","2020-03-20","Australia","791","26","7","2020-03-20","Germany","19848","180","67","2020-03-20","Finland","450","10","0","2020-03-20","Israel","628","13","1",37742154,37741211,919,-6,25499884,25499093,758,19,67886011,67866163,19601,113,5540720,5540270,440,10,11589623,11588995,614,12,59
"60","2020-03-21","Canada","1277","10","19","2020-03-21","Australia","1071","26","7","2020-03-21","Germany","22213","233","84","2020-03-21","Finland","523","10","1","2020-03-21","Israel","843","14","1",37742154,37740877,1248,-9,25499884,25498813,1038,19,67886011,67863798,21896,149,5540720,5540197,512,9,11589623,11588780,828,13,60
"61","2020-03-22","Canada","1469","10","22","2020-03-22","Australia","1549","88","7","2020-03-22","Germany","24873","266","94","2020-03-22","Finland","626","10","1","2020-03-22","Israel","1080","19","1",37742154,37740685,1437,-12,25499884,25498335,1454,81,67886011,67861138,24513,172,5540720,5540094,615,9,11589623,11588543,1060,18,61
"62","2020-03-23","Canada","2088","10","29","2020-03-23","Australia","1682","88","7","2020-03-23","Germany","29056","266","123","2020-03-23","Finland","700","10","1","2020-03-23","Israel","1249","22","1",37742154,37740066,2049,-19,25499884,25498202,1587,81,67886011,67856955,28667,143,5540720,5540020,689,9,11589623,11588374,1226,21,62
"63","2020-03-24","Canada","2790","110","33","2020-03-24","Australia","2044","115","8","2020-03-24","Germany","32986","3243","157","2020-03-24","Finland","792","10","1","2020-03-24","Israel","1351","31","4",37742154,37739364,2647,77,25499884,25497840,1921,107,67886011,67853025,29586,3086,5540720,5539928,781,9,11589623,11588272,1316,27,63
"64","2020-03-25","Canada","3251","183","42","2020-03-25","Australia","2364","119","8","2020-03-25","Germany","37323","3547","206","2020-03-25","Finland","880","10","3","2020-03-25","Israel","2468","37","5",37742154,37738903,3026,141,25499884,25497520,2237,111,67886011,67848688,33570,3341,5540720,5539840,867,7,11589623,11587155,2426,32,64
"65","2020-03-26","Canada","4042","184","57","2020-03-26","Australia","2810","172","13","2020-03-26","Germany","43938","5673","267","2020-03-26","Finland","958","10","5","2020-03-26","Israel","2988","49","10",37742154,37738112,3801,127,25499884,25497074,2625,159,67886011,67842073,37998,5406,5540720,5539762,943,5,11589623,11586635,2929,39,65
"66","2020-03-27","Canada","4682","256","66","2020-03-27","Australia","3143","194","13","2020-03-27","Germany","50871","6658","342","2020-03-27","Finland","1041","10","7","2020-03-27","Israel","3421","69","12",37742154,37737472,4360,190,25499884,25496741,2936,181,67886011,67835140,43871,6316,5540720,5539679,1024,3,11589623,11586202,3340,57,66
"67","2020-03-28","Canada","5576","466","82","2020-03-28","Australia","3640","244","14","2020-03-28","Germany","57695","8481","433","2020-03-28","Finland","1167","10","9","2020-03-28","Israel","3901","84","13",37742154,37736578,5028,384,25499884,25496244,3382,230,67886011,67828316,48781,8048,5540720,5539553,1148,1,11589623,11585722,3804,71,67
"68","2020-03-29","Canada","6280","466","96","2020-03-29","Australia","3984","244","16","2020-03-29","Germany","62095","9211","533","2020-03-29","Finland","1240","10","11","2020-03-29","Israel","4433","105","16",37742154,37735874,5718,370,25499884,25495900,3724,228,67886011,67823916,52351,8678,5540720,5539480,1219,-1,11589623,11585190,4312,89,68
"69","2020-03-30","Canada","7398","466","125","2020-03-30","Australia","4361","257","17","2020-03-30","Germany","66885","13500","645","2020-03-30","Finland","1352","10","13","2020-03-30","Israel","4979","147","17",37742154,37734756,6807,341,25499884,25495523,4087,240,67886011,67819126,52740,12855,5540720,5539368,1329,-3,11589623,11584644,4815,130,69
"70","2020-03-31","Canada","8527","1592","152","2020-03-31","Australia","4559","358","18","2020-03-31","Germany","71808","16100","775","2020-03-31","Finland","1418","10","17","2020-03-31","Israel","5717","210","21",37742154,37733627,6783,1440,25499884,25495325,4183,340,67886011,67814203,54933,15325,5540720,5539302,1391,-7,11589623,11583906,5486,189,70
"71","2020-04-01","Canada","9560","1324","175","2020-04-01","Australia","4862","422","20","2020-04-01","Germany","77872","18700","920","2020-04-01","Finland","1446","10","17","2020-04-01","Israel","6413","495","29",37742154,37732594,8061,1149,25499884,25495022,4420,402,67886011,67808139,58252,17780,5540720,5539274,1419,-7,11589623,11583210,5889,466,71
"72","2020-04-02","Canada","11284","1735","224","2020-04-02","Australia","5116","520","24","2020-04-02","Germany","84794","22440","1107","2020-04-02","Finland","1518","300","19","2020-04-02","Israel","7132","597","38",37742154,37730870,9325,1511,25499884,25494768,4572,496,67886011,67801217,61247,21333,5540720,5539202,1199,281,11589623,11582491,6497,559,72
"73","2020-04-03","Canada","12437","2175","277","2020-04-03","Australia","5330","649","28","2020-04-03","Germany","91159","24575","1275","2020-04-03","Finland","1615","300","20","2020-04-03","Israel","7729","667","43",37742154,37729717,9985,1898,25499884,25494554,4653,621,67886011,67794852,65309,23300,5540720,5539105,1295,280,11589623,11581894,7019,624,73
"74","2020-04-04","Canada","12978","2577","360","2020-04-04","Australia","5550","701","30","2020-04-04","Germany","96092","26400","1444","2020-04-04","Finland","1882","300","25","2020-04-04","Israel","8157","717","49",37742154,37729176,10041,2217,25499884,25494334,4819,671,67886011,67789919,68248,24956,5540720,5538838,1557,275,11589623,11581466,7391,668,74
"75","2020-04-05","Canada","15756","3012","435","2020-04-05","Australia","5687","757","35","2020-04-05","Germany","100123","28700","1584","2020-04-05","Finland","1927","300","28","2020-04-05","Israel","8740","820","56",37742154,37726398,12309,2577,25499884,25494197,4895,722,67886011,67785888,69839,27116,5540720,5538793,1599,272,11589623,11580883,7864,764,75
"76","2020-04-06","Canada","16563","3256","520","2020-04-06","Australia","5797","1080","40","2020-04-06","Germany","103374","28700","1810","2020-04-06","Finland","2176","300","27","2020-04-06","Israel","9191","939","64",37742154,37725591,12787,2736,25499884,25494087,4677,1040,67886011,67782637,72864,26890,5540720,5538544,1849,273,11589623,11580432,8188,875,76
"77","2020-04-07","Canada","17872","3791","581","2020-04-07","Australia","5895","1080","45","2020-04-07","Germany","107663","36081","2016","2020-04-07","Finland","2308","300","34","2020-04-07","Israel","9568","1059","72",37742154,37724282,13500,3210,25499884,25493989,4770,1035,67886011,67778348,69566,34065,5540720,5538412,1974,266,11589623,11580055,8437,987,77
"78","2020-04-08","Canada","19141","4154","648","2020-04-08","Australia","6010","1080","50","2020-04-08","Germany","113296","46300","2349","2020-04-08","Finland","2487","300","40","2020-04-08","Israel","9906","1191","80",37742154,37723013,14339,3506,25499884,25493874,4880,1030,67886011,67772715,64647,43951,5540720,5538233,2147,260,11589623,11579717,8635,1111,78
"79","2020-04-09","Canada","20654","5162","771","2020-04-09","Australia","6108","1472","51","2020-04-09","Germany","118181","52407","2607","2020-04-09","Finland","2605","300","42","2020-04-09","Israel","10249","1306","89",37742154,37721500,14721,4391,25499884,25493776,4585,1421,67886011,67767830,63167,49800,5540720,5538115,2263,258,11589623,11579374,8854,1217,79
"80","2020-04-10","Canada","22059","5855","867","2020-04-10","Australia","6215","1793","54","2020-04-10","Germany","122171","53913","2767","2020-04-10","Finland","2769","300","48","2020-04-10","Israel","10607","1460","97",37742154,37720095,15337,4988,25499884,25493669,4368,1739,67886011,67763840,65491,51146,5540720,5537951,2421,252,11589623,11579016,9050,1363,80
"81","2020-04-11","Canada","23316","6589","986","2020-04-11","Australia","6303","1806","57","2020-04-11","Germany","124908","57400","2736","2020-04-11","Finland","2905","300","49","2020-04-11","Israel","10952","1611","103",37742154,37718838,15741,5603,25499884,25493581,4440,1749,67886011,67761103,64772,54664,5540720,5537815,2556,251,11589623,11578671,9238,1508,81
"82","2020-04-12","Canada","24299","7123","1095","2020-04-12","Australia","6315","1806","60","2020-04-12","Germany","127854","60300","3022","2020-04-12","Finland","2974","300","56","2020-04-12","Israel","11504","1909","109",37742154,37717855,16081,6028,25499884,25493569,4449,1746,67886011,67758157,64532,57278,5540720,5537746,2618,244,11589623,11578119,9486,1800,82
"83","2020-04-13","Canada","25680","7758","1225","2020-04-13","Australia","6351","1806","61","2020-04-13","Germany","130072","64300","3194","2020-04-13","Finland","3064","300","59","2020-04-13","Israel","11942","2228","118",37742154,37716474,16697,6533,25499884,25493533,4484,1745,67886011,67755939,62578,61106,5540720,5537656,2705,241,11589623,11577681,9596,2110,83
"84","2020-04-14","Canada","27035","8210","1361","2020-04-14","Australia","6415","2186","62","2020-04-14","Germany","131359","68200","3294","2020-04-14","Finland","3161","300","64","2020-04-14","Israel","12341","2551","126",37742154,37715119,17464,6849,25499884,25493469,4167,2124,67886011,67754652,59865,64906,5540720,5537559,2797,236,11589623,11577282,9664,2425,84
"85","2020-04-15","Canada","28209","8966","1515","2020-04-15","Australia","6440","2186","63","2020-04-15","Germany","134753","72600","3804","2020-04-15","Finland","3237","300","72","2020-04-15","Israel","12652","2823","139",37742154,37713945,17728,7451,25499884,25493444,4191,2123,67886011,67751258,58349,68796,5540720,5537483,2865,228,11589623,11576971,9690,2684,85
"86","2020-04-16","Canada","30809","9698","1718","2020-04-16","Australia","6462","2355","63","2020-04-16","Germany","137698","77000","4052","2020-04-16","Finland","3369","1700","75","2020-04-16","Israel","12948","3174","146",37742154,37711345,19393,7980,25499884,25493422,4044,2292,67886011,67748313,56646,72948,5540720,5537351,1594,1625,11589623,11576675,9628,3028,86
